category,displayName.text,formattedAddress,rating,id,userRatingCount,internationalPhoneNumber,googleMapsUri,websiteUri,photo_url,latitude,longitude
caterer,Aroma Catering Services,"Borden, Dicholi, Goa 403504, India",4.6,ChIJ__04Q4uXvzsRHjg5GmFqUZY,44,+91 95452 75531,https://maps.google.com/?cid=10831555544087083038,https://aromacateringservices.com/,https://lh3.googleusercontent.com/place-photos/ADOriq1-X8ISH994WXt6Xk2WcVhJiz_canKWmkiTDeggHjRGXtyD8VVwsaBz8EXFuSf9r-o26AQXVv8RxCja9dai2i9AHT9hEj9OaCye72xvSbp3szsZAyH_wQWI_mRV-GcphxScBNVTK2tWMl6ho_E=s1600-w400,15.5933843,73.9452352
caterer,Valanki Caterers,"FR8P+VXF, Unnamed Road, Bandh Vaddo, Santa Cruz, Taleigao, Goa 403005, India",4.5,ChIJY6JtSL7BvzsR_h-yRW9_1gI,30,+91 98238 82711,https://maps.google.com/?cid=204490948979335166,NAN,NAN,15.4671906,73.8374286
caterer,Sai Aayansh Caterers,"House no 458, 2, Tiswadi, beside Audumber Bar Restaurant, Zorcator wada, Kumbhar Juven, Panaji, Goa 403107, India",4.9,ChIJhf3sUq69vzsRSb4RjHKFH9A,36,+91 97642 15497,https://maps.google.com/?cid=14996852011189780041,NAN,https://lh3.googleusercontent.com/places/ANXAkqHnf2ZCZ1YgpkQFKwZQ6jjWNST3XMZgEJEqercRatd0y22wvBbB98KFkJ-4qtg5K4ZtnWld3jKxf9ym3vCjbjEjBq7Y_1-fEVM=s1600-w400,15.509545,73.9492079
caterer,Luan Caterers,"Bairo, Bondir, Santa Cruz, Panaji, Goa 403005, India",4.6,ChIJVSCgXF6_vzsROrkI6itTm8Y,37,+91 98221 55012,https://maps.google.com/?cid=14311123688975022394,NAN,https://lh3.googleusercontent.com/place-photos/ADOriq2Ndxa-UCpLsY_a8Z1DbPtSTgwVDKYdfNf_AIsODQtAd6s6hJJhm0SnbmiEyk_DPKUGttwTtVG4xJU8Mt7u8PUKLq6p0bPDVnNai9Rzz5MSGuco7OdzLvxQUh3092r3rvraIeu7-aNF4Vitog=s1600-w400,15.4812044,73.8459266
caterer,Fogueri Caterers & Hospitality,"Tivim Industrial Estate, Area, Mapusa, Acoi Village, Goa 403507, India",4.8,ChIJI9frHprrvzsRChEVF5USmtE,80,+91 96731 07581,https://maps.google.com/?cid=15103404731887063306,NAN,https://lh3.googleusercontent.com/places/ANXAkqGXBgTFs5SL0GaV1xyPYsRd491GCptaN7zoygjEUlMPG_AXOs4sbMIKCDU4SQ8kOfwPBw60iZzbaUe2iaDI-AaHWjD1Z56F7No=s1600-w400,15.6148028,73.8262973
caterer,ANGEL CATERERS,"Maina, Curtorim, Shelvan, Goa 403709, India",5,ChIJxxI4V2SzvzsRuW2qnIdhgHM,18,+91 91584 05804,https://maps.google.com/?cid=8322759346457570745,NAN,https://lh3.googleusercontent.com/places/ANXAkqFR7enhKvWUjPP0obRrlQj_yUEPOcbuN_kYZKjqgvf9up1Mu1yZpijvAWJtEuGk1P5V6hHlNjjP7EKo9d3MGLte_XfyU2XedcA=s1600-w400,15.2851651,74.0026681
caterer,𝗧𝗵𝗲 𝗖𝗮𝘁𝗲𝗿𝗶𝗻𝗴 𝗛𝘂𝗯,"8X3F 38V, Arlem, Raia, Santemol, Goa 403720, India",4.9,ChIJezX_aACxvzsReDivWGqv2gM,47,+91 96616 50666,https://maps.google.com/?cid=277727198325979256,http://www.thecateringhub.in/goa,https://lh3.googleusercontent.com/places/ANXAkqHhUlw9iZJuVu95XCAkM5VhcC3MIID1Lr5Vp0C6Z45hoJnDPmM0xOIIVy5mqK9atT2BIkg-HGqPP8i0XaP1gZ3As1pCBVJmrKE=s1600-w400,15.3018883,73.9729388
caterer,Shree Shantadurga Caterers,"opp. Railway Station, Seraulim Railway Station, Majorda, Madgaon, Goa 403713, India",4.9,ChIJhyCKsgu3vzsRh6MIjLvn_GA,34,+91 92844 36149,https://maps.google.com/?cid=6988715514466444167,https://www.instagram.com/shree_shantadurga_caterers/profilecard/?igsh=MTM4MWV5b3ZnMGc1NQ==,https://lh3.googleusercontent.com/places/ANXAkqHEPhMt402-lT8Sp6sMNVdAvl60dwmRy5zeUKHZXtd4QepUJN9LHWHM8K7jNjOCKym8S2j0CsCnSGSUIlU_FjoJ3RBlukN_51Q=s1600-w348,15.3137572,73.9222406
caterer,God’s Gift Caterers,"Ho. No . 33(2, Arlem, Raia, Santemol, Goa 403720, India",5,ChIJswnH1ROxvzsRIa_BTa5JlMY,21,+91 86682 55948,https://maps.google.com/?cid=14309142929040584481,NAN,https://lh3.googleusercontent.com/places/ANXAkqGgDsVUYdFyi8m1XKfdtha-jzLgFV-hVlq92BUv1L1aUxHTGSL99as1lYVB6INul_OvaBf-aSoCh1MJRvYFaegLg_KIsOeaLvs=s1600-w400,15.3055766,73.9763323
caterer,St. Joseph Caterers by menino,"St minguel, vado A, Dramapur, Goa 403725, India",4,ChIJD1fIdIazvzsR3RyHMePUIIU,22,+91 98221 82952,https://maps.google.com/?cid=9592901278552759517,https://stjosephcaterers.com/,https://lh3.googleusercontent.com/place-photos/ADOriq2CpooZtgrp2YfhU9tAZcS8mP2W5YEFXGaOHh6Ybr4UzUpbuHlwlYyzudjIt3tq2ulD9bL8S-2oIbt8ofnR-l7zXqMPYHPbY-jn_Xuk0O9c9-ozdFMb1IElLHySao94JaKdAgWeXJht9UZ2kg=s1600-w400,15.232069,73.9922557
